"leading.protein","wAP0021_d0_1A","wAP0021_d4_7A","wAP0021_d8_54A","wAP0022_d0_4A","wAP0022_d4_2A","wAP0022_d8_11A","wAP0023_d4_8A","wAP0023_d8_26A","wAP0024_d0_27A","wAP0024_d4_49A","wAP0025_d0_13A","wAP0025_d4_32A","wAP0025_d8_9A","wAP0026_d0_10A","wAP0026_d4_97A","wAP0026_d8_71A","wAP0028_d4_52A","wAP0028_d8_73A","wAP0029_d0_15A","wAP0029_d4_17A","wAP0029_d8_50A","wAP0030_d0_51A","wAP0030_d4_14A","wAP0030_d8_53A","wAP0031_d0_79A","wAP0031_d4_55A","wAP0031_d8_34A","wAP0032_d0_23A","wAP0032_d8_74A","wAP0033_d0_75A","wAP0033_d4_77A","wAP0033_d8_20A","wAP0034_d0_56A","wAP0034_d8_78A","wAP0035_d0_80A","wAP0035_d4_57A","wAP0035_d8_22A","wAP0036_d0_30A","wAP0036_d4_76A","wAP0037_d0_63A","wAP0037_d4_31A","wAP0037_d8_25A","wAP0038_d4_81A","wAP0038_d8_58A","wAP0039_d8_82A","wAP0040_d4_84A","wAP0040_d8_59A","wAP0041_d0_41A","wAP0041_d4_64A","wAP0041_d8_33A","wAP0042_d0_87A","wAP0042_d4_42A","wAP0042_d8_85A","wAP0043_d0_86A","wAP0043_d4_60A","wAP0043_d8_40A","wAP0044_d0_44A","wAP0044_d8_89A","wAP0045_d0_45A","wAP0045_d4_88A","wAP0045_d8_65A","wAP0046_d0_46A","wAP0046_d4_62A","wAP0046_d8_43A","wAP0047_d0_66A","wAP0047_d4_47A","wAP0047_d8_91A","wAP0048_d0_90A","wAP0048_d4_67A","wAP0049_d0_68A","wAP0049_d4_92A","wAP0049_d8_61A","wAP0050_d0_93A","wAP0050_d4_69A","wAP0050_d8_94A","wAP0051_d0_98A","wAP0051_d4_95A","wAP0051_d8_106A","wAP0052_d4_103A","wAP0052_d8_96A","wAP0054_d0_100A","wAP0054_d8_70A","wAP0055_d0_111A","wAP0055_d4_113A","wAP0055_d8_101A","wAP0056_d0_115A","wAP0056_d8_122A","wAP0057_d0_102A","wAP0057_d4_112A","wAP0057_d8_116A","wAP0058_d0_109A","wAP0058_d4_120A","wAP0058_d8_108A","wAP0059_d0_121A","wAP0059_d4_107A","wAP0059_d8_117A","wAP0060_d8_123A"
"A0A0U1RRL7",NA,-0.101221456218308,0.684341949030651,-0.353541070934753,-1.23280091949604,NA,NA,NA,1.72399989495056,1.10294557992887,NA,0.305244119658589,NA,-1.64308484324603,NA,NA,NA,NA,NA,NA,NA,1.66738893253303,0.734582988071211,NA,NA,NA,NA,0.185432267965436,1.53998066222934,NA,-0.345718821369271,0.24899437454868,NA,NA,-2.22763678767704,0.270452500201663,NA,-3.76402292030847,-3.12660465176088,NA,NA,NA,NA,NA,-3.16537589027145,0.797446453106526,0.664301205569559,NA,NA,NA,1.59212107853227,0.421282425582197,-0.104255213910422,0.127617430706789,NA,NA,-0.903350677181394,0.226377974616665,NA,-0.168565253885691,NA,-0.7892557002663,NA,NA,1.10774306092189,NA,NA,0,-0.759857325305219,NA,NA,NA,-1.03953438698032,NA,-1.24089844745571,NA,NA,NA,0.161635411489409,NA,-1.86303153863245,0.587987838304319,NA,-0.303884711491261,0.589529805144017,NA,-0.0003547396697012,NA,NA,-0.978893294311827,1.13308055325406,1.46748885418987,-0.0849482049026545,-2.52355774579399,-2.3596758130201,NA,0.16606055023846
"A0A1B0GUC4",-0.487521025209522,-0.347303837391438,1.44472818853119,1.37023836196289,0.114809810176047,0.259476462492233,-0.393308408080443,0.784169823568384,0.759708706200213,0.698463015936733,-0.866434573131445,0.564270454898354,-0.84634469292012,0.0920066318957064,0.688518120351913,1.39454934414941,0.556281366828886,-0.876323536010057,NA,-0.376379153153262,-0.231202977216988,0.594886876921683,1.14383293052905,-0.0501676877925952,-0.0562067890351423,0.452080363278027,-0.158944734083458,0.609050292797287,-1.30940328219888,-0.0201030932568938,NA,-1.30996668566524,-0.209438234500345,0.897058265680805,0.154554720215533,0.457632829160823,-0.650452081132173,-0.527960301205431,-0.0711033191263668,0.0211134111631642,NA,NA,0.0340440986091466,-0.229089203529212,0.657040435282347,0.512394149272501,0.918507426566781,0.378044923107575,0.845294776090921,-1.50760177395194,-0.458686603774073,0.57213641949106,-0.378107689063143,-0.456487628969906,-0.265029130908335,-0.197101411032895,0.872870272829558,-0.175193384166932,-0.248693613868202,0.825211872132514,-0.256841964485095,-0.611497106944058,0.268222818811171,-0.548524707926343,0.379382596363764,-0.178325739904499,-0.656991472733715,0.0136885065931908,0.806718344416823,0.0833105490155639,0.650872851887253,0.107234702047702,0.482365389092553,0.453442415350401,-0.236848783210862,1.31227042282143,0.871442605316122,0.190493297017248,-0.0511801110221384,-1.0372201587381,-0.338738843401511,-0.106920294197565,-1.07071485744309,-0.177768723244181,-2.39202459547269,0.220593986701234,-0.662805052803779,0.00185279978127286,0.733667877668674,0.678839826039701,-0.117146297948994,0.230766226569747,-0.0259140161713826,-0.308146594415387,-0.0957894271322202,0,-1.36841480326076
"A0A1W2PR48",-0.288906622617635,0.724546301908329,-0.421179365042861,-0.270262977072882,-0.175461299060513,-0.252591162071209,0.218396495749532,-0.608461143021523,0.392064362040961,-0.0743931304279506,-1.95193216496955,-0.573124219107684,-0.796731331795197,0.311390429438041,-0.272611378351588,-0.227189567533416,0.0576952753185087,0.134766505999611,-1.27674633453267,0.225423073965348,0.0324996683030283,0.373659193703395,-1.63657320858219,0.124031548248138,0.251346924096142,-0.0555321670772235,0.243037062647049,-0.0750277158877404,-0.259037325172177,0.0959026846788272,-1.41959108427534,0.245852968572714,-0.134347682068457,0.214329886059568,0.34252769467051,-0.146615966368155,0.395807278729811,-0.0769449885091107,-0.112921967598236,-0.394852496450686,NA,-1.54311524465784,0.0291922675065072,-0.0789408158118566,-0.456840542401361,0.185314297054811,0.343051159012856,0.000736409891105523,0.311654567016884,-0.648562273579422,-0.106559662205409,0.182445226061159,-0.0240570811175912,-0.285637903583082,-0.198765475118038,-0.310376311043678,-0.000736785976471529,-0.0259458673580692,0.0767042730114905,0.557765053455204,-0.367658856790877,-0.206325817501743,0.577777100281559,0.483367384498209,-0.433423389402603,0.357081084512954,-0.455343528271835,0.243557014899789,0.0140544129178333,0.0512212056084041,0.500492139065288,-0.153547911522278,-0.104131455035042,0.28852547011638,0.221236567881371,0.263451682568312,0.55837099721652,-0.00276002189533338,-0.645759146413011,0.26129913932573,-0.0682404564946103,0.376107503314102,0.0392183772214561,0.423591110497725,0.0107053754671793,0.0422738094917688,-0.269260045073085,-0.123208324251639,0.0727787767506055,0.392594420760946,0.159811718255167,-0.152666149883723,-0.279099248623781,0.270037956871038,0.332029184756364,-0.238889054279074,0.200088626701583
"A0A2R8YFL7",NA,-1.88390806707723,-0.785813897975127,NA,NA,-0.0734271862284675,NA,NA,-0.515796778367003,NA,NA,-2.47509015724169,NA,NA,-0.2516359416271,-0.348112165083036,NA,0.577558177970648,-0.601467973427644,1.12553097407298,NA,NA,-0.463416015776468,NA,0.965362645643257,0.894795237854923,1.4866118726265,0.67900730259793,NA,NA,2.50702005404697,-1.01061253979709,0.55880202324233,0.96084317113826,NA,-0.231364562547562,-0.8552939982551,0.348960990909161,NA,-0.344895223750345,NA,-1.89415826291526,1.08806154153564,-0.308219792657935,0.0207783446078561,0.644355311073745,0.331937739854489,NA,0.374014222310645,0.157472127931625,NA,NA,1.55370537976898,1.32234170871507,-0.366057462375349,NA,-1.26527437186802,0.743126831430513,-0.860107523363293,NA,0.23278663933467,-1.73630632204341,0.103042648745984,-0.271462435812682,-0.919558716915761,NA,-1.41851502018112,-0.0210819821476192,0.696780430335966,0.804618055619104,0.200615687783459,0.247001209984585,NA,-0.353376203915086,0.235613199625404,-0.349465444152375,-0.349482282909758,0.0295354972668428,0.46855765444851,0.328376217097766,-0.38011597665183,-0.271540354301091,-1.17970780819238,1.00384530398273,-0.546011289351564,0.213289088470522,-0.431766219890467,-0.73871421575202,NA,NA,0.463987381090936,1.51188567132136,-0.784768505162665,-0.265852646048498,0.471135916639509,1.13722802054065,-0.117736194354992
"A0AUZ9",NA,NA,NA,NA,NA,NA,NA,NA,-0.985312123215995,0.228738201434797,NA,NA,NA,0.517136176278153,0.959964427865017,-0.127616591150325,NA,NA,NA,NA,NA,1.22904443381839,NA,NA,NA,NA,-1.51807484830147,NA,NA,0.389873150173901,NA,NA,NA,NA,NA,-1.07561431569287,-2.46800253103601,-1.61113390234847,-2.09142242121819,0.581012449578655,NA,NA,NA,NA,-0.367662289955171,1.26528833432399,NA,NA,1.37096081507597,NA,0.302824108468481,-0.851229854537936,-0.805519563689025,NA,NA,NA,-3.66511122582363,NA,0.251887003946824,0.658566900821909,NA,NA,0.376083329483778,NA,NA,NA,NA,NA,NA,-2.2492260349125,-2.80620449694679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13185385517362,NA,1.71358876667172,0.491307866715667,0.249829640569605,NA,-0.617176244293842,NA,NA,0.11723969606135,-2.78216978434841,NA,0.201473683957415,-0.847229419042238,NA,NA
"A0AVT1",-0.183089646106883,0.360522871321507,-0.715510069603259,0.00916201596185836,-0.749183389852159,0.197911370722627,0.219490001293975,-0.652948510716641,0.106585872238001,0.243852393513221,-0.657472511343025,0.0451499722551363,-0.650616920845878,0.345001450270228,-0.177789216470021,0.307061717228425,0.105183743662335,0.22260512219661,-0.315493597197357,0.204995751994707,-0.450940077706091,-0.186810846361283,-0.333457222912611,-0.140670548558133,-0.435192674127285,-0.393270576562524,-0.0472051428737483,0.352564002152974,-0.0136560593434113,0.502161873554824,0.415095108808338,0.020774536660349,0.383358653597897,-0.00315420462316783,0.402708112082468,-0.557862505283182,0.0746781918816469,0.389156266728135,0.330147606483615,0.175060826090537,-1.96517977224707,-0.579059916802032,0.17543337157182,0.0384649246824257,0.0470569023826602,-0.240618397610953,-0.11264482950596,-0.0272693696779013,-0.410222927204156,0.491184401844671,-0.0247235812267474,0.220714247776291,0.493670597572441,-0.314297765514844,-0.6744775183688,0.189780332149424,0.342933203424809,0.0936230559802935,0.303856074468347,-0.0710440164034459,0,-0.207549161214576,0.252648242012947,0.434499548626608,0.0419234109947946,0.374568808160641,0.249301455534094,-0.156741314411816,0.459560078591519,0.0201151882998876,-0.0339058730728467,0.155772855330338,-0.36178796077891,-0.346303245893394,-0.156156971620431,-0.281579238512747,0.143618155361012,-0.130195902095785,-0.122622393682203,-0.16818855927483,-0.286849536888725,1.06206240362085,0.619984725015217,0.0318072262245378,-0.192861714114959,0.158385454870909,0.211930251786085,-0.364922774612292,-0.124364904659811,-0.43380820304074,0.224053011582926,-0.268411161039286,-0.00682607876349136,-0.213088642050168,-0.398567022287879,-0.0606199231948761,0.277197929070957
"A0FGR8",NA,NA,NA,NA,NA,NA,-5.8832459290323,NA,-3.12733089321124,-3.51947873673005,-3.62749508981009,-4.20595198383192,-3.90412072266403,-3.93196230389021,-3.60133283303054,NA,-0.752743088777481,-4.09176715489277,-5.07759166569682,-3.68524716932508,-5.08133333317695,0.197647000544173,-1.12089358428106,-0.350260620388652,-1.2276166728086,-1.39527798083231,-2.28473204206477,-0.0646351964279459,-1.93637904231111,-1.95250488775117,-1.8614754574711,NA,0.735864048707008,0.887581260409737,-0.998484140206998,-1.34967916714133,-1.4323082687788,-0.617587673567164,-1.26744222069526,-2.01051234907693,-1.24849671280963,-3.00160474322188,1.19743322073177,-0.086393966600709,-0.505342694251415,0.998399230861873,0.0634875007738471,0.266145751172438,0.272338176377819,0.201295484971894,0.485464566849187,1.04141716265564,-0.492648833072017,1.0077508733938,1.09534053924348,0.637648518891978,-0.479535179475438,-0.863559086593715,0.502220314499935,0.677624706731963,0.454148784629913,0.564996959626242,0.0618631769389167,-0.3589199159034,0.495806988801462,1.01767499687436,0.197289755233307,0.599978789350296,0.262550773658094,0.386226282259427,0.944672826800771,NA,1.26796705646521,0.161249671507331,0.450394697491058,0.717079998987345,1.1496349490398,0.447009479999731,0.196730845354648,0.620247560365764,-0.561552552439359,-0.320718049378064,0.691758122128427,0.566633508035073,NA,1.09618758975345,0.78680134515708,-0.846840368613695,-0.894611489210026,NA,0.488427684888895,0.0952998264318681,-0.3733445756934,0.489478400446289,0.900146993335189,NA,-1.83468200988668
"A0MZ66",0.278933441963411,0.534563554023811,0.241470328746819,-0.810376512644845,-0.856549055836418,-1.02894825694908,-0.530669571599723,0.480647138745561,-0.197232670834429,0.0026285447058308,-6.24351015036086,-0.110505271734991,-0.762640343781514,-0.21902746766058,0.173776560664286,0.335529136157499,-0.177533979457952,-0.637529439621842,-0.154729061088883,-0.514897504877153,0.112725540032145,0.0788547956141616,3.65463997881757,-0.673461880839999,0.269283196534291,0.281614770007647,-0.0595138958738223,-0.0799398695825793,-0.213961030801957,-0.397110665376899,1.15745421218997,-0.261364642096267,-0.628098697100704,-0.257807276079481,0.341357760479984,-0.130651795524712,-0.0449895399950885,-0.325363115521256,-0.370558499213789,0.162329618510007,NA,NA,-0.0226668430548842,-0.343381357118875,0.417077651099232,-0.212549226373153,0.262542286528828,-0.10540833796853,0.526249697534488,-0.0674099175681056,-0.457198118559247,0.176480536006977,0,-0.468452215752261,-0.195388619249664,-0.553754038988787,0.52178375481296,-1.06801096481865,-0.0250256531275188,-0.297458196605904,0.254387711391599,0.141276442317875,0.104293499821678,0.201019316153936,-0.0462485243369976,-0.0442164094040051,-0.888223304772341,0.0510544024337689,0.396359510109709,0.506051365389745,0.33134007261379,0.728457431777844,0.566030819253569,-0.154373127633011,-0.340964551597084,0.590967120222967,0.263074231269793,0.383245082416527,-0.400296031930698,0.238544876668686,-0.718680021798607,0.459238645970945,0.731401834289609,0.324051956741313,0.581878040480206,0.304851512055906,0.214279394003328,0.631148633027386,0.319370382555359,0.26011218414153,-0.289328496745447,-0.184798418793388,0.6800491092305,0.0260898604619879,0.72206165371412,-0.0756906903076077,0.106218042415771
"A2RRP1",0.0187265517414812,NA,NA,0.221552705251826,NA,0.677257124080067,NA,NA,NA,0.240747233363387,NA,-0.399139901883004,NA,0.00813669109070789,-0.543690995093436,NA,NA,NA,NA,NA,NA,-0.0961366730915276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.321360401162177,NA,NA,NA,NA,NA,-0.579078806947589,-0.00818284182372302,-0.866543020600183,NA,NA,NA,-0.262946461973832,NA,-1.89088287273995,NA,NA,NA,-0.921800427619434,NA,1.38948123035485,NA,NA,0.595532235684128,NA,1.79288634671953,NA,NA,NA,NA,-1.60710350103455,0.849958337469806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375006037686977,NA,NA,NA,NA,NA,-0.934122254844516,1.11206055375618,NA,NA,NA,NA,1.59586152523464,NA,-0.844113375295608,0.157646272885671,NA,-0.879103584586578,0.798480667227209,NA,NA,NA,NA
"A3KMH1",NA,NA,NA,NA,-0.967802356027723,NA,NA,NA,NA,1.38743854709283,NA,-0.592821570348382,1.19810747837533,NA,-0.515535126458409,-1.25376852883398,0.34918616848087,0.700095970955204,NA,0,1.64890392940219,NA,-1.24012327005461,-0.0444594761048502,-0.228261767245808,-1.52472587663319,-0.107513149407455,0.00970726875760638,0.280190632580282,NA,NA,NA,0.748727650508449,NA,NA,-0.462444494596394,3.94228256541006,-1.18444251149734,-1.11006159701392,NA,1.38816897492301,NA,NA,NA,NA,-0.660991570648781,0.290314331940484,-3.58436573993027,NA,2.85600241315157,NA,-1.25309793979812,-0.467996174527738,NA,NA,0.963575649977004,NA,0.752156146462145,NA,1.1686733643619,0.575261876912278,NA,0.859180575665261,NA,NA,NA,NA,NA,NA,NA,-0.806887175273053,4.09532141605189,0.0221709360175133,NA,NA,-2.12749189752894,-3.08567419021197,0.401015466980699,-1.05487735890513,0.75931344723735,NA,-1.47952330275301,NA,-2.69356355779988,0.721373324988978,-3.26705154263267,0.551723426011546,-0.3616901775342,0.194779123015628,NA,NA,NA,NA,1.87196167518977,-2.20119499402512,NA,NA
