Age,PRS6A,rs
18,0.334476839,-0.62
18,0.04264936,
18,0.192472572,
21,0.308568818,
21,0.386343235,
23,0.252084001,
26,0.173600071,
26,-0.157600659,
26,0.290027485,
29,0.01969825,
30,0.112328622,
30,0.198126876,
37,0.006037653,
37,0.037531677,
38,0,
38,0.011937637,
39,-0.246203291,
39,0.092285509,
39,-0.230366976,
40,-0.157579215,
40,-0.054342705,
41,0.012722727,
41,-0.051643824,
41,0.19056775,
43,0.066092672,
43,-0.508060966,
