Age,PSA6,rs
18,0.156224136,-0.47
18,-0.724626014,
18,0.717086918,
21,0.818491416,
21,0.860882502,
23,0.285024983,
26,0.380874888,
26,0.666584169,
26,1.255681506,
29,-0.31585896,
30,0.501748908,
30,0.413909339,
37,0.869365544,
37,0.702156107,
38,-0.279561565,
38,0.268943909,
39,0.159671908,
39,-0.975396131,
39,-0.333672978,
40,0.41887701,
40,-0.508730256,
41,0.223312549,
41,,
41,-1.227453559,
43,-0.4612192,
43,0.024898872,
