leading.protein,wAP0022_d0_4A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0024_d4_49A,wAP0033_d0_75A,wAP0025_d8_9A,wAP0021_d0_1A,wAP0030_d8_53A,wAP0023_d4_8A,wAP0032_d8_74A,wAP0026_d0_10A,wAP0033_d8_20A,wAP0047_d4_47A,wAP0041_d0_41A,wAP0022_d4_2A,wAP0029_d8_50A,wAP0046_d0_46A,wAP0045_d4_88A,wAP0050_d0_93A,wAP0030_d0_51A,wAP0037_d4_31A,wAP0043_d8_40A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0048_d4_67A,wAP0038_d8_58A,wAP0046_d4_62A,wAP0054_d8_70A,wAP0040_d8_59A,wAP0049_d0_68A,wAP0043_d4_60A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0047_d0_66A,wAP0041_d4_64A,wAP0031_d4_55A,wAP0035_d4_57A,wAP0021_d8_54A,wAP0037_d0_63A,wAP0034_d0_56A,wAP0045_d8_65A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0026_d4_97A,wAP0059_d4_107A
P62328,-1.90354759,-0.546742885,0.452067533,0.00347763,-0.306311332,0.309382058,1.194423748,0.571691028,-1.137971168,1.006909653,-0.656893212,-0.647408099,0.40523702,-0.573946162,-0.755757737,-0.465482077,-1.922506359,-1.307250885,0.120912252,-0.806328572,-0.43607027,-0.62238279,,-0.322448195,0.039481436,-0.899101803,-0.087626895,0.465463443,0.641331006,-0.709599655,-0.120946912,-0.239654181,0.136721235,0.469139014,0.110156915,-0.065649215,-0.064458074,-0.211338507,-0.249093343,-3.011594759,-0.599766662,-0.418142669,0.453065636,0.376524303,0.095035908,0.994326579,0.560610233,0.491192038,0.237880317,0.229756917,1.245253544,0.226756572,0.295595354,0.145158309
P62750,0.199136344,0.249811466,0.295098843,-0.521492766,-0.337086661,0.505622007,1.381358566,0.754883324,0.288314429,-0.104443562,0.484283218,0.029489281,-0.252229858,0.405806691,0.612237531,0.039543475,0.652333307,0.639043969,0.228175112,0.401658458,0.149738222,0.657618378,0.802468484,-0.514691268,1.20477998,0.557596811,-0.331936398,-0.032316934,0.071204479,-0.322901085,-0.294115725,-0.767326138,-0.995732629,-0.76888373,-0.493508197,,-1.019553586,-0.482417701,-0.359529832,0.372411164,-0.086593528,0.344706625,-0.429084164,-0.15619323,-0.420201917,-0.472979687,-0.10750747,0.352582182,0.02073191,-0.507734628,-0.498126389,-0.283139696,-0.434187273,-1.025021195
P62906,-1.109420645,0.29163361,0.369352267,0.636687292,0.306798443,0.511151409,0.983782189,0.940317215,0.619770717,-0.051377562,0.782551476,0.359165847,0.45322893,0.99309249,0.717284237,0.364225779,0.258665365,1.010284025,-0.838467719,-0.086656658,-0.767764708,0.383183195,-0.8233074,-0.089294429,0.241416823,-0.356764004,-0.643757806,-0.012392905,-0.477809068,-0.397797493,0.751442541,-0.487737719,-0.362948302,0.160908296,-1.053628194,-0.468511609,-0.52567353,-0.725396699,-0.499980073,0.012287355,-0.26564498,-0.548109171,-0.206795849,-0.951785989,-0.215857515,-0.351887715,-0.367843227,-0.113153384,-1.504847542,-0.227372548,-0.177135609,0.1751642,0.130856335,-1.148314308
P62917,-0.417350831,0.80475025,0.17747836,-1.397283811,-0.094597668,-0.735814546,0.812098004,-0.109917033,0.253011337,0.060022356,0.213838916,0.261553426,-0.706504231,-0.055984144,1.003972317,0.464703978,0.264134481,0.078568975,-0.154612239,0.428408706,0,0.50020913,0.741692649,0.320150188,1.172476482,0.739994503,-0.693036607,-0.749557569,-0.188060446,-0.366228863,0.113276643,-0.28398984,-0.690288237,2.81250216,-1.141962596,-0.894905866,-0.512039593,-0.295354684,0.042093222,-0.617478677,-0.10427408,-0.172468999,-0.406284984,-1.013172253,-0.417534019,-0.533629798,0.44162912,-0.574065824,-0.424771385,-0.100849996,0.01804224,-0.497034221,-0.887540357,-0.67201724
P83731,0.416421559,-0.026033637,0.137732233,0.39677411,-1.234214468,-0.195143216,1.352948054,0.474932613,1.311060296,-0.328835188,0.314859471,-0.21009344,0.670777606,0.791924517,-0.142733162,0.455546742,0.320091182,0.42847084,0.310705746,0.240810383,0.479501841,0.53775227,0.740101816,0.357871489,0.341725431,-0.098579202,0.041800129,-0.602104709,-0.2067696,-2.049189533,-0.423703681,-0.818839203,0.360264967,0.139938411,0.568062826,0.29216452,-0.778502135,-1.939666837,-0.127209625,0.332917035,0.031636642,0.126874805,,0.477871939,-0.887091481,-4.232034184,-0.821729126,,-1.022810389,0.223565484,-0.514794212,-0.012889307,-0.078277764,-0.071765612
Q02750,-1.22790229,-1.45233399,-1.537702592,1.791740053,-0.85713266,-0.888066343,0.240036295,-0.980587359,-2.039891949,-1.95399066,-1.812954271,-1.323362508,-0.206916737,-0.970095865,-1.243499488,-1.522120458,-1.26357448,-1.807804626,-0.88253561,-1.289915732,-1.824085004,-0.081810747,-2.27510957,-1.547825794,-1.01615846,-1.535581871,0.675334867,0.680173392,0.494959206,0.971559199,0.738510729,0.032843216,0.52833623,0.5999054,-0.353889791,0.482873378,0.044333737,0.415989951,0.344056803,0.808902599,0.146180681,-0.197909017,0.895905818,0.818116662,0.200481382,-0.101593091,0.077326628,0.636700923,0.695189577,0.262256163,-0.879899462,-0.042701398,0.605292347,-0.329013615
Q08629,-1.381658269,0.406997161,-0.649136983,-0.869241554,,-0.263214183,0.051777842,,,0.390631424,0.105614524,0.265106208,0.660352411,0.220069812,0.021611798,0.328713134,0.364528946,,0.379863974,0.99415997,0.744040714,1.403511174,-0.127039193,-0.105638494,1.616678505,1.63281164,0.283925043,-0.034277059,0.365784842,0.5062033,-1.760522041,0.293297939,,-0.245413196,-2.262504532,,0.359626668,0.348320534,0.535496869,,-0.342414186,-1.168920432,,,-1.19601676,-0.021940476,-1.572333185,-1.456236507,-0.395118703,-0.074161797,-1.420240801,-0.682275801,-0.317943231,
Q10471,-0.457105001,-0.525264319,0.7768531,-0.468552694,0.061273254,0.812373098,1.142203328,0.423408648,-0.410869645,0.923408597,-0.123344018,-0.053422345,-0.113574104,1.345202479,-0.582680218,0.901474038,-0.432598619,-0.040104385,0.985819282,0.951638358,0.960457923,0.558391886,0.912300861,0.700142294,1.400004634,0.76259686,0.810771149,-0.711410735,0.197668846,0.491198306,0.097631527,0.169497611,,-0.828442559,0.34550385,0.834885597,0.262794849,-1.429818944,-0.127932316,-1.157834179,-0.406943649,-1.611256193,-0.642267618,-1.194530926,-2.122931417,-0.965513778,-0.950500093,1.093784292,-0.261900165,-1.331883044,0.64580309,-0.504384725,-0.66016868,-0.759180568
Q13185,0.000579304,0.452536655,0.023076165,-1.314340272,0.563664357,-0.411506288,2.671445266,0.534116685,0.203556095,0.684435349,1.389575611,1.055937059,-1.820086397,1.445977727,1.243562728,-0.199339598,-0.04989317,-0.597552936,-0.088263089,0.601343243,,0,,,1.703548264,1.285193822,,,0.261423123,-0.08416444,-1.197031298,-0.106445467,-1.381437258,,-1.014502249,-0.540685372,-0.496848072,-1.805955703,0.403098241,-0.507068519,-1.707223295,-1.807864779,-0.888594874,-1.643757996,-0.576961356,-0.713596662,0.614903101,-0.144410719,,,-1.26850285,-0.065352286,-1.521803363,-1.366019975
Q13277,-0.876623789,0,-0.135039216,0.08183819,0.110750378,-0.728891416,-1.147485123,-0.412347649,-0.986932716,-0.475494126,-0.006127099,0.418986369,0.112735906,-0.158292941,0.155310541,-1.552594,0.466925286,0.164674015,0.380508953,-0.064224135,1.054271321,0.010238774,-0.577100251,0.590612088,-0.576097455,-1.103446272,-0.429968048,0.77925544,0.184885218,0.290034631,-0.26938406,0.338554065,0.289326579,0.669691124,0.838508129,0.873601822,-0.246034664,-0.100089931,0.226695931,0.039196167,0.59431523,0.333944742,,-0.063775073,0.350887527,-0.214971168,-0.54338902,0.946468711,0.553595953,-0.161595102,0.349498782,0.995339207,0.643599203,0.460048442
Q14108,-0.285927533,-0.109069611,-0.046595138,-0.341194244,-1.165271444,-0.055931411,-0.091088069,-0.071722254,-0.043683667,0.603808324,-0.336997641,0.410856005,-0.540828995,-0.458590144,-0.254623112,-0.73681157,-0.766262476,-1.041847265,0.115756075,-0.430954935,0.092726324,0.001988109,0.034624581,0.534458029,0.433574573,-0.034008882,0.2228063,0.345729513,0.012691777,0.915210782,-0.633577078,0.635277438,-0.55098991,2.58764606,0.324481933,-0.244576226,0.179980418,0,0.492621699,0.136519267,-0.078467143,-0.548582917,-0.864712105,0.416218803,0.489241845,1.05908088,0.284091001,0.383432138,0.626558299,0.908948722,-0.267931213,0.236168546,0.315667217,0.124165526
Q14203,0.28994186,0.294821753,0.549688649,-0.05306133,0.398778674,0.443555988,-0.405423425,0.290057947,0.612645649,0.068359538,0.723263195,-0.042954785,0.63848463,0.026191379,-1.233395318,0.702786794,-0.703107756,0.35951384,-0.956121162,-0.235740442,-0.298608777,-0.194449311,0.697323064,-1.092337859,0.208378553,0.709131981,-0.336038213,-1.083854314,-1.41813088,-0.086739559,-0.415531213,-0.418282836,-0.666321582,,-0.393400903,0.009010843,-0.002464419,0,-0.313041328,0.048904352,0.401762469,-0.738772065,-2.976057408,-0.112127924,-0.125209816,0.411210524,0.339981524,-0.022359475,0.464475781,0.433197614,-0.054882223,-0.28624252,0.007820592,-0.865035627
Q16658,0.461053065,1.730291101,0.343227675,0.287180642,-0.112669277,-0.010109852,2.26523051,-0.009948576,0.999689018,1.31809477,1.186676805,1.96230112,0.629597247,1.467707299,0.840310799,-0.267052604,0.304110577,1.045757168,1.745104992,2.210906414,-0.397120078,-0.264017154,1.54623881,-0.237049478,1.84170168,0.643950975,-0.676229248,0.174856069,-0.329686642,-1.124663642,-1.159909585,-1.625143167,-1.461537102,0.087664322,-0.840264104,-0.591910278,-0.327824364,0.591348313,-0.122288136,-0.911741114,-1.206991241,-1.250611055,-0.100831505,0.895357141,1.411583188,-0.037383654,0.189677381,-0.649913141,1.498369651,-0.570521795,0.281487352,0.009880442,-0.238450234,0.052854194
Q6GMV3,1.69943366,-0.306165121,-0.703715764,0.374079388,0.586756061,-0.018658585,0.111100913,-0.461779143,-1.274779331,-0.2029392,0.186027283,-0.463870389,-0.114727588,-0.217779752,-0.188788284,0.325795694,-0.551473645,0,0.184828364,-0.509946853,-0.267160456,-0.923701631,-0.9298073,-1.239575308,0.204694307,0.025154195,-0.28292494,0.102083489,0.447678749,0.440031319,0.036731806,0.550834782,-0.242280197,-0.025128559,0.266730378,0.628450129,0.141426096,0.021083825,0.336623869,-0.257027726,-0.112876604,-0.188552864,0.387855425,0.368008379,0.587092175,0.406453676,-0.033943281,0.099398719,0.297003845,0.444233556,0.528202409,0.444444039,-0.32827037,0.468542525
Q6IMN6,0.21065906,0.350039975,1.060674637,-1.07440794,0.09829341,0.499463761,0.729796611,0.149272192,0.018526632,0.925938568,0.823709416,-0.894302899,0.02822405,-0.01884767,0.31865586,0.481069796,0.978410287,-0.4036953,-0.480896073,0.205948655,0.93195109,0.921007624,0.368934699,-0.059484512,0.382349063,0.125151485,-0.160834614,-0.907264229,-0.3682106,-1.335166396,-0.112716644,0.317023802,-0.207772306,-0.459714339,-0.400978683,-0.650627463,0.28489842,0.499487117,-0.325322001,0.433617369,-1.483142112,-0.097955792,-0.537705367,-0.317600519,-0.791949552,-1.111986594,-0.311604003,-0.0310174,-0.581769846,-0.534918463,-0.531725032,-1.858792682,-0.300182931,-1.088577974
Q6RW13,-1.152082371,-1.479958305,0.312224554,-1.106880884,-0.634686252,0.185183492,-0.585152981,-0.66111463,-0.488370868,-0.802042961,0.282763623,-1.135479663,-0.743663366,-0.694692251,0.367531544,0.158474113,-1.010223361,-1.140597615,-0.470697064,-0.081792242,0.236578917,-0.680040193,-0.174782322,-1.611548584,-2.67444031,-2.050650385,-1.381519197,0.521192793,-0.453764253,-0.389622388,0.19538606,0.850228401,-0.147794963,0.413614419,-0.307579355,0.445740029,0.115639483,-2.402313874,-1.662270763,0.421922219,-0.784356115,0.616508733,-0.904221583,0.596784913,-0.013535481,1.233003507,0.837013722,0.083494662,0.300583861,0.013409669,0.655547837,0.676804364,-0.395489175,0.558509143
