,wAP0021_d8_54A,wAP0031_d4_55A,wAP0034_d0_56A,wAP0035_d4_57A,wAP0037_d0_63A,wAP0038_d8_58A,wAP0040_d8_59A,wAP0041_d4_64A,wAP0043_d4_60A,wAP0045_d8_65A,wAP0046_d4_62A,wAP0047_d0_66A,wAP0048_d4_67A,wAP0049_d0_68A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0054_d8_70A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
RALA,0.046697891,-0.784081554,0.084082019,0.251142536,-0.337908032,0.433622013,-0.200619095,-0.005255314,-0.459117857,-0.235036419,-0.367802894,0.356134598,0.584932006,0.035359202,0.372001232,-0.379098511,-0.760994555,0.096789513,0.401170453,0.097057538,-0.167088996,0.418509756,0.087603637,-0.665177271,0.103735037,-0.001158856,0.775780106,0.457307103
RALB,-0.577106036,0.382432833,-0.329833575,-0.066714007,0.330568905,-0.17838649,0.171674142,-0.035264607,-0.11936749,-0.166210984,-0.52298839,-0.012145784,0.125648258,0.179907715,0.674945873,0.119674431,-0.007686684,-0.790793168,-0.429136668,0.362020603,0.265799054,0.427326125,0.397744536,0.500228188,0.011207318,0.350233716,0,0.56880716
LAMP1,0.187805967,-0.019355317,-0.678278407,0.390847305,-0.037439845,-0.579456026,-0.424946612,-0.273272784,-0.333666807,-0.084789202,0.131531488,-0.365280255,-0.480294609,-0.034483318,0.26297867,0.02056267,0.28131615,-0.15710087,-0.036275408,-0.203569505,0.556804227,-0.276710862,-1.025494373,0.627307958,0.702524637,0.157813825,-0.051239948,0.313078232
PIM1,NA,NA,0.035280967,-0.993418628,-0.477505244,-1.561781018,0.026874836,-1.132723638,0.273586816,-1.637516413,-0.156172682,-0.627406774,1.007845909,-0.356536134,-1.224639539,-1.08610487,0.762144299,NA,0.402311004,0.491412878,0.22422201,0.684689307,1.078829912,0.349978956,0.717048414,0.547377609,0.436910472,-0.099079603
ACADM,0.280884522,-1.30596978,-0.131284343,0.298472398,0.331271735,-0.386331704,-0.731962707,-0.539295524,-0.818750346,0.375519244,0.493096119,0.029107218,-0.336492821,-0.434839525,0.758913701,-1.250962445,0.022500223,-1.295593611,-1.077236718,-0.884647116,0.290979019,-0.108168344,0.555606535,-0.642786167,-0.084094715,-0.560796149,-0.495102435,0.340602432
G6PD,-0.140716076,-0.083425433,-0.117790446,0.287834674,0.204620999,-0.007134903,-0.040302884,0.002795021,-0.082492007,-0.789720671,-0.54154463,0.138936084,-0.243901106,0.235813721,-0.102037864,-0.053960107,0.16790193,0,0.109241549,-0.723019278,0.037519099,0.043347283,0.080540854,-0.0813728,0.222571385,0.194290443,0.337024448,0.147132262
PC,0.439132417,-0.350958083,-0.284582281,0.590123201,-0.770051085,-0.333789428,0.302170616,-0.342836333,-1.290796449,0.284129153,0.2862651,-0.737788763,0.183593554,0.13810332,-0.069304846,0.118390772,-0.162053243,0.039767806,-0.262122448,-0.189645439,-0.426043468,-0.808763979,0.429651431,0.446697815,-0.31297507,0,-0.04829878,0.601136982
MTHFD1,-0.338737148,0.196049379,-0.258376665,-0.090959406,0.350809067,-0.087596772,-0.057050309,-0.160070637,-0.58327932,0.04067223,0.12817695,0.154286252,0.127479417,-0.6100571,0.031662527,-0.403676636,-0.054172351,-0.00636847,-0.613357656,0.170391474,-0.66247357,-0.090326387,-0.631494696,-0.1702205,-0.520775402,-0.528366351,0.044468879,0.475107573
ADH5,0.517070875,-0.047408397,-0.683757279,-0.058399452,0.231009442,0.198721715,0.131920516,-0.028709088,0.040557553,1.049963375,0.417103267,-0.257664042,-0.252637958,-0.413150728,0.556763104,-0.658504046,0.829322024,0.198341437,-0.140824838,-0.217777385,0.484019288,-0.043156356,0.429400307,0.300177287,-0.017764439,-0.286599563,-0.177284596,0.650912513
PCNA,-0.029115587,0.514356761,1.182146788,0.230268269,0.764951218,0.385419426,0.714055746,0.627233466,0.759781534,-0.046641742,0.400130848,0.303709425,0.587254448,0.573471793,0.423460891,0.331162304,0.305570716,0.641873755,0.310352758,0.262840953,-0.020124087,-0.170034465,0.364780426,-0.068955436,0.128524143,0.597046141,0.182789769,0.498633388
HARS1,-0.053241154,-0.788212067,0.161115416,-0.374844906,0.124209275,-0.238101044,0.002066638,-0.418507715,0.108269963,-0.458119637,-0.117837527,0.039314214,-0.516643039,-0.200162343,-0.77511222,-0.806022453,0.226510677,-0.239858153,-0.369199142,-0.237838614,0.094157884,0.384779824,-0.539167865,0.431722707,-0.181040176,0.618167164,0.15508653,0.275427297
SLC25A4,0.347680906,-0.679564995,0.391391945,-0.993971801,0.412300549,-0.116271464,0.056904795,-0.748677924,-0.1262804,NA,0.335689844,1.150314503,1.1961942,-0.588011137,0.143783243,1.530218444,0.68887387,-0.954602718,0.931275389,-0.746678281,1.437611057,1.034264609,1.309588448,-0.184024966,0.740883688,0.983891726,-0.125452897,0.735131427
SLC25A6,0.917667654,-0.150424565,0.318022577,-0.279849912,0.993922862,0.478603186,0.757116709,0.60851877,-0.795549782,1.845930551,-0.423369988,-0.629695558,0.815059082,-0.393781737,0.025128541,0.117272491,-0.636376298,-0.134493343,-0.140914943,-0.314751866,-0.796300627,-1.295466876,-0.500218447,0.320373473,0.327165606,0.812091194,-0.507321438,-0.028135857
IMPDH2,-0.133900631,0.181149512,0.274331574,0.041948454,-0.182458478,0.279903074,-0.122696413,0.355804138,-0.180039891,0.104704734,0.116066588,0.477857769,-0.448825804,0.193580907,-0.948655285,-0.004744698,-0.182896787,-0.309624897,0.605779525,0.297190419,0.057568039,-0.070247505,0.020671887,-0.039415036,0.051995668,-0.224474875,0.031119988,-0.006610292
CKB,-0.30287418,0,-0.100456304,-0.828394983,-0.87574524,0.341191776,-0.085512499,-0.816815629,0.758384738,0.033166901,0.300386389,0.076653024,0.475894199,-0.749297774,-0.525610383,0.404556498,1.035881938,-0.227135189,0.02355886,-0.301276957,0.006031465,0.036202109,0.336264657,0.394081723,0.693819534,-0.007646616,0.271488833,-0.16436241
XRCC6,-0.201254655,0.606209299,0.167274857,-0.551966038,0.256802194,0.327434865,0.617000037,-0.714188914,-1.365759001,-1.010532869,-0.473846006,-0.988357117,-0.574503371,0.04245186,NA,-0.089744845,-0.170444117,-0.533036929,0.013757013,-0.428341215,0.394017451,1.055204258,-0.060580749,-0.100299107,-0.160637315,0.254547628,0.228283879,-0.596665481
COX4I1,-0.166865708,0.242303824,-0.427801634,0.21882992,-0.113695951,0.342062996,0.3389417,-0.030777604,0.034346554,-1.089410638,0.219680515,-0.168587869,-0.155875726,-0.683893383,0.719348822,0.367647639,-0.374036956,0.005733733,-0.588863544,0.405783547,0.132405589,-0.06584708,0.035633258,-0.543990801,-0.239724761,0.002389594,-0.658988581,-0.184555199
LAMP2,NA,0.011065219,-0.537136023,-0.215438559,0.585948925,-1.262809659,-2.308568322,-0.479394448,-0.782520903,-0.464640441,-0.823580531,0.180182032,-0.636910578,0.940413633,-0.27321356,0.049098143,0.372682684,0.063359564,0.259846209,0.306171374,-0.432358867,NA,-0.151711578,0.019181649,-0.903047386,0.687348721,0.9578217,0.099957173
RNH1,-1.447342025,-0.174198207,0.131255887,0.009083864,-0.713146534,-0.02295626,-0.013365103,-0.774605349,0.713397146,0.371720382,0.049089644,0.602234824,-2.071572006,0.598176654,-0.97702185,-0.09840533,-0.139998937,0.737037022,0.173785366,0.809775465,-0.757809216,0.185316432,-0.276340411,-0.922656951,0.370328516,1.255824758,-0.712905533,-0.177997552
VCAN,1.330556418,0.834196264,-0.569744236,-0.125663932,2.170591961,-0.692423041,0.447428407,0.112210537,1.317561082,1.269099127,0.222245042,1.367265366,-0.419794751,0.617213276,-0.16747023,0.909550507,-0.518812542,1.952464155,-0.253851123,1.661421388,2.247752147,0.419339828,-0.848573942,0.37684534,1.110882598,-0.012587181,2.664205625,1.738650054
EEF2,-0.387700222,-0.256824905,-0.155172182,-0.113268615,-0.365998024,-0.091779715,-0.429980692,-0.145291592,0.218339523,-0.484048426,-0.159295964,-0.340883479,-0.211180046,-0.172715008,0.031566821,-0.301744443,0.277533436,-0.384127528,-0.094789412,-0.335695089,-0.748086788,0.111089865,-0.126331892,0.274922455,-0.408355748,0.181058307,-0.132415942,-0.89140252
