,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
PKM,-0.320700566,0.422335998,-0.083530734,0.224559475,0.229607378,-3.366332208,-0.089326136,-0.37659962,-0.225986929,-0.031010277,-0.098105816,0.297959287,-0.002750735,0.043892674,0.018509989,0.162902135,0.290337783,0.092874888,-0.158795756,0.232125687,-0.193259242,0.000847502,-0.027881188,0.3093107,-0.175468358
HSP90B1,-0.182847904,0.047378779,0.06357573,-0.022675618,0.257122211,0.556246793,-0.067378158,-0.077408323,-0.285002496,0.404927008,-0.39500031,0.024999905,-0.232340967,-0.033001056,-0.216880688,-0.192687929,-0.42525747,0.389364032,-0.024603191,0.292160238,-0.059733669,0.142770744,-0.160854681,0.391615083,0.105375373
DARS1,-1.075527317,0.021101482,NA,0.083200086,0.913946914,-3.997177528,-0.886587936,1.725033541,-1.190119143,-0.738636472,-1.273609074,-0.775847501,0.773376024,-0.81103847,-0.717779081,0.681890287,-0.029359609,-0.92134743,-0.353218557,0.803563691,0.490257761,0.750445032,0.546260313,0.417477333,-0.122848841
UQCRB,-0.105192059,-0.402904609,0,-1.019395397,-0.712838404,0.161492243,-0.275411965,-0.084899968,-0.4053906,0.770804319,-0.287939917,0.421253691,0.126193855,-0.014533865,-0.129819253,-0.257891349,-0.820957496,-0.07106947,-0.301858288,-0.0154214,0.329764792,0.397704671,-0.929512553,0.254433785,0.07454334
AKR1B1,-0.399423566,0.246286135,-0.170297749,-0.268028592,0.221566808,-2.566308983,0.337143777,0.096338394,-0.009295903,-0.70784825,-0.217930901,0.318962413,0.149651242,0.037613748,0.019886693,0.424310452,0.009154603,-0.066417498,-0.057639508,-0.050916382,-0.094852968,0.07157858,0.303935239,-0.082019908,-0.109562146
GSPT1,0.129028545,-0.226292098,0.750172412,-0.033185117,0.675069666,NA,-1.573700471,0.470504718,-0.343230844,-0.559557891,-0.108902963,-1.034744892,0.520440558,-0.499395719,-0.203343971,-0.191917706,-0.133362641,0.445066552,-0.921554095,0.900027627,-0.190277054,-0.643719777,-1.890976881,-0.427381049,-0.003435776
EZR,0.3101021,0.275736875,-0.115372062,0.336620337,0.353823196,-2.19715689,0.048276526,0.17627007,0.132692983,0.03563078,-0.256173853,-0.083176133,0.051736906,-0.09778009,0.539161852,-0.397994402,-0.45312517,-0.579264066,0.082256326,0.187931918,0.26649597,-0.670100509,0.170411984,-0.284552537,-0.000270901
UCHL3,-0.053959774,0.599682087,-0.388306335,0.500653957,-0.504878082,NA,0.330151389,0.195212829,-0.070710305,-0.564824267,-0.508028459,0.00780854,-0.265926354,0.398052519,0.789494612,0.774667467,0.913723189,-0.123633891,-1.034435647,-0.338903303,0.023429185,0.119893553,0.280975458,-0.382500998,-0.213485943
GNS,0.643899029,0.181767437,0.417695767,0.513288035,-0.431853554,-0.881079554,-0.366251035,-0.226727093,0.217922919,0.139914599,-0.473960579,-0.042958839,0.845587273,0.990477285,0.49699974,0.407294451,0.169178321,0.768186599,0.346373831,0.507093333,-0.101660539,0.440776017,-0.054208637,-0.723656175,-0.373997723
RPS2,0.052556776,-0.053465516,0.749864468,0.461240839,0.313199569,0.468221271,-0.349290472,0.038595954,-0.263727545,1.213887558,-0.180928117,-0.662986011,0.699303994,0,-0.373710033,-0.756042846,-0.615404193,-0.892029155,0.176847342,-0.840889928,0.154227855,-1.266032657,-0.502589153,-0.943605705,-0.220293991
