,wAP0021_d0_1A,wAP0022_d0_4A,wAP0023_d4_8A,wAP0024_d4_49A,wAP0025_d8_9A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0030_d8_53A,wAP0032_d8_74A,wAP0033_d0_75A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0021_d8_54A,wAP0031_d4_55A,wAP0034_d0_56A,wAP0035_d4_57A,wAP0037_d0_63A,wAP0038_d8_58A,wAP0040_d8_59A,wAP0041_d4_64A,wAP0043_d4_60A,wAP0045_d8_65A,wAP0046_d4_62A,wAP0047_d0_66A,wAP0048_d4_67A,wAP0049_d0_68A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0054_d8_70A
P07900,-0.0490269,-0.203492226,0.544597174,0.44791097,0.121017957,-0.618570538,0.263470475,0.082127926,-0.386406414,0.157162448,0.634681852,0.144735121,-0.292026579,0.162998884,0.243502511,0.205043613,-0.168113728,-0.04734777,-0.04682495,0.194000878,0.063381531,-0.326991326,0.218995279,-0.358644254,-0.339095051,-0.014552026,-0.633810763,-0.247590044,-0.404712811
P07942,-0.759711444,-0.046278351,-3.998327253,-0.974925171,0.104035506,-1.190637895,-3.481807771,-0.654268092,0.504018562,-1.836169603,NA,-0.324613913,0.45470695,-0.440398784,0.001686385,0.35856923,0.086145791,-0.520101748,-0.328138602,-0.343626052,0.503338705,1.158021118,0.216775915,0.130740993,-0.152796501,-1.960624497,-1.503617166,0.084332124,0.888922424
P07954,-0.354571676,-0.434604053,-0.24698265,0.019006156,0.317133106,0.211924535,0.322174715,-0.0404557,0.251430207,-0.090097347,0.086431506,-0.025816995,-0.004006171,0.112253115,0.364260525,0.084943077,0.173963224,0.436516884,0.367250859,0.202614218,-0.196776267,-0.264658306,0.225931617,-0.136601831,-0.039115403,0.428251757,0.198203289,0.216039143,-0.042132901
P08133,0.20010576,-0.453087359,0.572120708,0.799935014,0.178412801,0.27934372,0.00082484,0.528511515,0.844651616,0.228936933,0.147316685,-0.071063254,0.011697556,0,-0.633644292,-0.53951394,0.081707622,-0.05522716,-0.828196276,0.39645913,-0.719279168,-0.559808806,-0.600307628,0.017620604,0.090689448,-0.191909093,-0.230413877,0.060340039,0.454455459
P08195,-0.168990711,-0.476008076,-0.704046499,-0.245990623,0.543212687,-0.152612322,-0.440077431,0.680540641,0.0523501,0.056223233,0.264914529,0.327607952,0.545850884,0.051606369,-0.217162348,0.054092298,0.208197294,0.310198261,0.642866637,-0.27393559,-0.562024952,-1.233639487,-0.907077165,-0.000533651,0.388863819,0.532691087,0.183603316,0.398398375,-0.216833957
P08237,0.452636748,0.385415468,-0.023688791,-1.760329982,-1.076756384,-0.577290597,0.444545217,0.757756957,-1.144665361,1.076432778,1.464722097,0.562310112,NA,-1.327343292,0.99936895,-0.966359542,0.799276148,0,-0.421521009,-0.344045129,0.613148127,NA,-0.465455167,0.64509424,0.151249701,0.58458335,NA,-0.187326974,0.482780901
P08238,0.056551421,-0.123130562,-0.231975312,-0.012078216,-0.508700311,-0.756825019,-0.063361561,-0.162212158,-0.602967538,0.346988165,0.292569049,0.023884774,-0.416874783,0.143725417,0.350543717,0.082592939,-0.165444617,0.131211173,0.22343587,0.360430755,-0.03812685,-0.91040573,0.340727668,-0.320252056,-0.107127491,0.036340449,-1.214768554,-0.667760686,-0.328898891
P08559,-0.298690959,-0.27954316,-0.134326584,-0.161417484,-0.159364089,0.008695802,0.178671791,0.068406236,0.018571624,-0.144058811,-0.104499341,-0.287168836,-0.031766131,0.258557109,0.128293232,0.279501953,0.119094881,0.269754098,-0.329394541,0.059770234,0.250549737,-0.280435149,0.082297093,-0.261419679,0.051271036,-0.172081933,0.046478299,-0.066455835,-0.093088369
P08572,NA,-0.970631716,-0.539572544,-2.354912504,-2.017449135,0.88406673,NA,1.555820641,-2.43114009,-0.273976461,1.115689114,-1.825853798,0.28380102,0.424036357,-2.65984833,-0.364433171,1.174586501,-0.937910935,0.667100413,1.974274855,0.467911409,-0.339918562,-0.252944742,1.643069428,-0.101012604,0.140295687,1.402151801,1.022093963,0.18931825
P08574,0.751267325,-1.531337002,0.532084174,0.783627505,-0.313805145,0.31741251,-0.710425918,-0.155754107,-0.667304448,-0.454590992,-0.50587205,0.524965281,0.285920399,-0.211811209,-0.781706371,0.321951658,0.231177333,-0.789253112,-1.482531912,0.464916383,-0.586983074,NA,-1.147620178,-0.414430961,0.318786169,-0.683139775,-0.607461171,0.806636951,-0.024084193
