,wAP0021_d0_1A,wAP0022_d0_4A,wAP0023_d4_8A,wAP0024_d4_49A,wAP0025_d8_9A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0030_d8_53A,wAP0032_d8_74A,wAP0033_d0_75A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A
Q9NRG9,0.214346342,0.537685401,-1.079928227,0.47690918,-0.371074137,0.175191778,-0.025779234,0.008619394,0.467346621,-0.223836589,-0.726359644,0.28221393,1.702720312,-0.217484596,-0.121290485,0.469079019,0.230517808,0.941741988,-0.57799752,-0.218647254,-0.131097552,0.001768062,-0.35481269,0.013156884,0,0.036371408
Q9NRW1,0.668363206,0.173405055,0.307776387,0.77407207,0.674136758,0.501844035,0.598767388,0.463889919,-0.29033644,-0.959706911,-0.417189906,-0.133653687,0.872105937,-0.293282246,0.022092491,0.413657724,-0.600747594,0.598231341,0.578891545,-0.452982355,-1.464434977,0.161891039,-1.372036077,-0.711980757,-0.931752733,-0.173587544
Q9NRW7,0.042508743,-1.911492268,0.24132919,0.595701675,-1.127096271,-0.785678493,0.668974485,0.351847524,0.187654556,-0.70081896,-0.130522496,0.060049394,-1.64435165,-3.633039251,-0.178687314,0.827552636,-0.019351304,NA,0.203986519,0.180200317,-0.303873827,0.427697637,0.860344851,-0.96298133,0.151120981,-0.971768315
Q9NRX4,-0.26475657,-0.501481444,-0.809078711,0.456542008,-0.956920044,0.203481751,-0.142905978,-1.503550434,-0.475816161,-0.519640653,0.229169612,-0.149404741,-0.229501966,0.074276835,-0.013044336,-0.659520822,0.521493233,-0.895820034,0.904050567,-0.493101687,0.581570854,-0.824682575,0.003362659,0.437393696,0.26392632,0.388694194
Q9NRY5,0.785710878,0.302110788,-0.409657596,0,-0.229789976,-0.922606195,0.533169243,0.133001068,1.370654677,-0.726711102,-0.40577669,0.457865784,0.354175868,-0.330822551,0.821098663,0.050381343,0.686851884,NA,0.045068207,-1.090892662,-0.370140943,-0.242122961,-0.523508566,-1.187244109,-0.205257651,-0.057695955
Q9NS69,-0.924510289,0.960867154,0.439905901,-0.585253757,1.274739877,NA,-2.382138608,0.395534984,0.429180541,-0.67165319,-0.663637645,1.155520334,0.695278103,0.082692699,NA,-2.829508722,-2.181653101,NA,0.861720118,-0.125957398,0.053299784,1.275960829,-1.917390132,0.252315237,-1.465905867,-0.533035536
Q9NSD9,0.383896652,0.328872428,0.081046192,-0.455810614,0.637193595,-0.006496381,0.01362537,0.143121466,0.860069936,0.28084056,0.217164057,-0.164680139,0.488091522,0.472969828,0.257994322,0.569496083,0.223950818,-2.58888744,-0.1742759,-0.15543581,-0.022421144,-0.11073515,0.281748775,-0.403811292,0.418481772,0.074310386
Q9NSE4,0.233420015,-0.073056856,-0.027445744,-0.024735766,0.345529472,-0.31596445,0.107670559,-0.131528878,0.213893331,-0.321214053,-0.19523152,0.132474401,-0.239983766,-0.080768493,0.045522098,0.523477312,-0.195818423,0.347137238,-0.076382327,-0.071609446,0.307810525,0.09099742,0.398989354,0.021235301,-0.212232293,0.046987981
Q9NT62,0.347420031,0.376688289,0.279801345,0.222348036,-0.301393867,0.063025207,0.355020219,-0.775497072,0.558090484,-0.209811948,0.115569406,0.327289661,0.258143152,-0.507718038,0.454157326,0.058428862,-0.098943393,NA,-0.051262099,-0.032623291,-0.223267885,-0.331687523,-0.153712688,-0.315763447,-0.309705049,-0.320640971
Q9NTJ5,-0.697418397,-0.170947993,-0.039468122,-0.243853817,0.26787647,0.544147668,-0.555907863,0.289333469,0.574754578,-0.554726507,-0.347638594,-0.543267039,0.15130367,-0.189631934,0.080657977,0.097448098,-0.04495046,-0.291071213,-0.966165701,-0.318668509,-0.513594014,0.270334675,0.40709222,-0.954683391,0.643491596,0.046697349
Q9NTK5,0.231910369,0.109958942,0.23744671,0.167856534,NA,NA,-0.313362187,-1.520514214,0.898645336,0.018516697,0.237251229,0.147753669,0.554110977,-1.583900201,-0.184954068,-0.502506385,-0.864706032,NA,-0.585723312,0.505463282,-0.122382859,-0.068577069,0.565868295,0.182594222,-0.294247954,0.373530333
Q9NTX5,-0.197944238,0.050462117,-0.816291699,-0.91336296,-0.44642397,-0.152880942,0.749692971,0.343727782,0.170225465,-0.0847916,-0.033819851,-0.70544015,0.460569842,-0.914518707,0.425632449,0.228656384,-0.374092506,-0.46461823,-1.172440768,0.433342121,0.681642107,0.168354635,-0.284602517,0.022159846,0.073056058,0.040275302
Q9NUJ1,-0.044099186,-0.200718606,-0.260401253,0.498118565,0.00427856,0.240044683,0.224277262,-0.270726268,0.22168151,-0.60270113,-0.653399625,0.038878701,0.042082333,0.21299447,0.438389377,-0.253813685,0.149516319,-0.211170191,0.081686022,0.518785686,0.029912344,0.584218058,0.677245829,0.149116575,-0.217998738,0.098441877
Q9NUQ7,-0.155318331,-0.057079373,-0.460083795,-0.15529651,0.455357571,0.959232387,-0.150363562,-0.978429938,0.522354109,-0.628670788,-0.37268015,0.187129626,1.577802537,-0.102957617,-0.104815909,0.491198956,0.302660818,0.084470498,-0.040923464,-0.272490905,0.160218851,0.040248785,0.253384983,-1.113959574,0.329014661,0.106281171
Q9NVA2,-0.22319245,1.175075096,-1.726150545,-0.338246695,0.301976083,NA,-0.435956325,0.324880076,-0.486649332,0.006597678,0.654315486,1.537610985,1.562686423,0.181107177,-0.026435022,-0.275880158,0.040895489,-0.442310359,0.650797487,0.19341901,-0.320899516,-0.540998404,0.299844032,0.455763182,0.5627744,1.009493185
Q9NVI7-2,-0.235850774,-0.359132744,-0.292275321,0.324939704,0.325134119,-0.809666608,0.12392349,0.111060697,-0.253455325,0.055998791,0.042893928,0.211180145,0.305096057,-0.179528902,-0.419355209,0.305741141,-0.390513812,0.765500039,0.782199116,0.269515594,-0.315172515,0.332911584,0.182005046,0.5085115,0.231928639,0.332090987
Q9NVT9,-1.191361204,-0.237123253,0.776958514,-0.087448281,1.954498252,-1.315973095,0.256937197,-0.785859554,-1.897306222,-1.373999999,-1.920876467,-0.933046929,3.175660266,-2.750701173,1.326877541,0.148719637,0.661182016,NA,-0.168863284,-2.601571142,0.049862637,0.433265571,-1.757154974,-1.09203919,1.078486825,-0.217325622
Q9NWT8,0.377144495,NA,0.067688129,-1.527496475,-0.50411039,-0.195808339,0.099541255,0.326365237,0.715887225,0.013281827,-0.002158523,NA,1.159732085,NA,-2.091365287,0.90647174,0.240152835,0.209277068,0.512938502,-0.546371997,NA,0.43014761,-0.003235467,-0.103498585,0.303430383,0.412704557
Q9NWU1,NA,-0.506538674,-0.730532763,0.639623292,-0.966310753,-0.888935933,-0.846509595,-0.141516392,1.163034069,0.251780188,-0.934990632,0.155209019,-0.0222947,-1.043370342,-1.027291953,-0.791793857,0.134524261,0.832708175,-1.087068563,0.250204252,1.257991986,1.301325146,1.566440283,0.462842573,1.165385026,-0.441223931
Q9NWU5,0.532441339,0.399761152,0.007762034,-0.434780951,-0.034950169,-0.178380835,0.792777704,0.034104479,0,-0.786767694,0.023004945,-0.368129707,0.247773175,-0.007002844,-0.458195406,0.319975401,-0.50302492,0.348768692,0.323819658,-0.324817609,-0.244242398,0.225912107,0.18325573,0.260249222,0.363715429,0.31613485
Q9NWV4,-0.79822506,0.375695559,-0.157218809,-1.01138458,0.197454221,-0.809096542,0.878137143,-0.419489161,-0.135511477,0.843497493,0.86467271,-0.631771754,2.1428026,0.527845475,-0.480771921,-0.177055615,-0.059416166,0.082597901,-0.215694479,-0.070314129,0.327785701,0.50808297,1.103353831,0.28344666,-1.040118779,0.91863251
Q9NWY4,-1.661971857,-0.956296609,-1.418069849,-0.182523247,-2.627147977,1.277807829,-0.021737065,-1.98900479,-1.419785042,-0.476871543,-1.211475719,-0.930448709,-2.00315907,0.530303811,-0.202328739,-0.594351442,-0.857552862,NA,-1.648610022,-1.592711678,-0.125941243,-0.707947139,-0.595123457,-1.742990225,-0.400049799,-0.172601122
Q9NX02,0.082143911,0.594444836,0.392882135,-0.136755426,-0.104652134,-0.072113621,0.293323648,-0.059507131,0.034997162,-0.150994812,0.357602803,0.354399403,-1.174840207,0.087296686,-0.087078758,-0.445799679,-0.331486815,0.86858756,0.035489176,-0.295926323,-0.126130807,-0.269943124,0.445451215,-0.064642059,0.036603046,-0.061410954
Q9NX14,-0.97312894,NA,-0.337120446,0.218850436,-0.112429686,2.61771338,-0.40308354,0.253008957,-0.490470887,0.045028486,0.246698574,0.12567481,-0.015080391,-0.72537851,-1.303397429,0.022694896,0.197392089,-0.36799926,0.307693778,0.010377768,-0.508611822,0.635255011,0.21244447,0.351179608,-0.486783407,2.118268806
Q9NX63,-0.09269297,0.35953117,0.245761281,-0.259239475,0.298577973,0.055871936,-0.686966731,-0.003155509,-0.011172133,-0.29736302,-0.116612353,-0.453668494,0.1764331,0.300471821,-0.377304436,0.323311334,-0.31626409,0.704066192,0.23377877,0.149541461,0.504770076,0.118625696,-0.633082506,0.00025781,-0.210221057,-0.267758241
Q9NX76,NA,-1.30055585,-0.58986103,-2.091100538,0.001087418,NA,-1.099192769,0.563531117,0.721754968,-0.769712384,0.512758809,-0.928115264,NA,-1.897605051,0.227662792,NA,0.021561246,0.639282226,0.149961803,-0.119230977,0.369861579,NA,-0.585497787,0.842077047,-0.594921133,1.032157138
Q9NXA8,-0.283148595,-0.208999807,0.47038854,-0.281168059,0.368265828,-0.562996573,0.190139395,-0.331617164,-0.017798363,-0.575343565,-0.624543382,0.640156055,-0.291565907,0.58372141,0.51724967,0.244518333,-0.032540117,-0.680782854,-0.209053691,-0.54907022,-0.613799843,1.286716745,0.346370133,0.038202724,0.598732083,0.166405763
Q9NXJ5,0.622717208,NA,-0.131319309,0.067389598,1.156568068,-2.429321752,0.381441275,-0.001496319,-0.389067219,0.724806556,-1.287068716,NA,NA,-0.318971644,NA,0.432261079,0.507885046,NA,-0.498510801,-0.104448026,-1.562774405,-1.790225426,-1.187327136,-1.831523118,-0.438207699,1.290035708
Q9NY33,-0.759267238,0.044380786,-0.02417993,-0.128765917,0.202541471,-0.022372729,0.259729209,0.272206335,0.072461074,0.000643872,0.225065413,0.4373033,-0.413836012,0.503484258,-0.373433273,-0.379284804,-0.450216321,1.047573371,-0.156865536,0.103373025,0.389624627,-1.319760802,-0.185807647,0.192581262,0.265459973,-0.450321367
Q9NYQ8,NA,-0.537752039,0.707258245,-0.167943315,0.345546811,0.290709803,-0.162082013,0.128752858,-0.307904102,-0.002616154,0.132749191,-0.472367114,-0.715237697,-0.557018358,0.251138962,0.038783439,-0.499213073,0.898538512,0.258833784,-0.702775917,-0.971020706,0.610665102,-0.386654263,-0.249297394,-0.479831611,-0.847926986
Q9NYU2,0.317939369,0.07496191,-0.43382787,-0.21666771,-0.389009857,0.421603621,-0.066966457,0.228914133,0.034191759,-0.167214471,-0.402721793,-0.160236135,-0.248156133,-0.132765635,0.225101455,0.43657963,0.078431782,0.373989097,-0.420459217,-0.502384642,-0.472434021,-0.267176818,0.130204621,-0.321525579,-0.389650212,0.273574159
Q9NZ01,-0.205170765,0.004508136,-0.148957832,0.152696789,0.365270647,0.041779561,-0.817197346,0.16280687,0.904320195,-0.570370048,0.345166309,0.004174204,1.069193944,0.386797728,-0.267174163,0.366305359,0.06681113,0.182133585,0.500373384,-0.357288714,-0.412123085,0.689484555,0.096818729,0.395088309,-0.349102745,-0.681558071
Q9NZ45,0.513223085,0.728396466,-0.434808842,0.148880846,-0.135075484,0.464342476,-0.069578872,0.367066985,0.360997007,-0.382919311,-0.040577034,0.275874251,0.75358231,-0.157767452,-0.485183621,0.384085833,-0.297869522,-0.023126598,-0.261937199,-0.300884309,-0.309508455,-0.104457202,-0.234204632,0.043541846,-0.422354112,0.243369179
Q9NZL9,0.09759891,-0.761026013,-0.218781532,-0.156489088,-1.035912443,0.544196012,-0.044283825,-0.086528211,0.092293681,1.594133311,0.083987289,-0.018037054,0.241811601,-0.125158712,-0.586211377,0.134672522,NA,NA,-1.16392825,0.940122446,0.293151331,NA,-0.62741577,-0.264572132,0.357117207,-1.478401123
