,wAP0021_d0_1A,wAP0022_d0_4A,wAP0023_d4_8A,wAP0024_d4_49A,wAP0025_d8_9A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0030_d8_53A,wAP0032_d8_74A,wAP0033_d0_75A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A
A0A1B0GUC4,-0.487521025,1.370238362,-0.393308408,0.698463016,-0.846344693,1.394549344,0.556281367,-0.050167688,-1.309403282,-0.020103093,0.15455472,-0.071103319,0.11480981,0.092006632,-0.231202977,0.594886877,-1.309966686,NA,0.378044923,-0.458686604,0.572136419,-0.197101411,0.825211872,-0.611497107,-0.17832574,0.482365389
A0A1W2PR48,-0.288906623,-0.270262977,0.218396496,-0.07439313,-0.796731332,-0.227189568,0.057695275,0.124031548,-0.259037325,0.095902685,0.342527695,-0.112921968,-0.175461299,0.311390429,0.032499668,0.373659194,0.245852969,NA,0.00073641,-0.106559662,0.182445226,-0.310376311,0.557765053,-0.206325818,0.357081085,-0.104131455
A0AVT1,-0.183089646,0.009162016,0.219490001,0.243852394,-0.650616921,0.307061717,0.105183744,-0.140670549,-0.013656059,0.502161874,0.402708112,0.330147606,-0.74918339,0.34500145,-0.450940078,-0.186810846,0.020774537,-1.965179772,-0.02726937,-0.024723581,0.220714248,0.189780332,-0.071044016,-0.207549161,0.374568808,-0.361787961
A0MZ66,0.278933442,-0.810376513,-0.530669572,0.002628545,-0.762640344,0.335529136,-0.177533979,-0.673461881,-0.213961031,-0.397110665,0.34135776,-0.370558499,-0.856549056,-0.219027468,0.11272554,0.078854796,-0.261364642,NA,-0.105408338,-0.457198119,0.176480536,-0.553754039,-0.297458197,0.141276442,-0.044216409,0.566030819
A4D1E9,-0.875324691,-0.725341321,0.476799288,-0.111156525,-0.01619096,-0.944347302,-1.137961148,-0.041994297,0.404823012,-0.648387837,0.637373127,-0.133379653,0.644951751,0.662112636,0.894397662,0.201329508,0.127878672,-0.16541029,-0.51990976,1.307805672,-0.216565514,0.94417843,1.148826691,-0.184350068,0.914075618,0.188464099
A6ND01,1.007587256,-0.918283263,0.834234823,1.627735533,-0.381509703,-0.323675907,0.542290541,-0.661863767,-0.537074541,-0.440502896,1.188561371,0.865142994,0.453670541,-0.344131971,1.009129267,-0.163934313,-0.107779223,1.33913787,0.021027227,-0.704595417,1.188902095,0.8062663,0.104570703,1.356178359,-0.174779697,-0.514447797
A6NDG6,1.15597283,0.711159862,0.758852626,0.68181763,-3.106641726,-0.953597716,0.109448925,-0.836125981,-0.39703337,-0.588117468,0.886084086,0.245892825,-0.304830922,1.093722111,NA,-0.576455195,-0.302527682,NA,0.069828592,0.53390589,0.762660842,-0.451128555,-0.651690636,0.776918026,-0.124043384,0.662204343
A6NDX5,-0.01250369,-0.373159489,-0.292575453,-0.444790748,-0.644668738,0.13495635,-0.397398092,0.329966072,-0.166024016,-0.769160282,0.178557512,-0.199103348,-0.92727726,-0.366832521,-0.266456938,-0.158891901,-0.291017243,0.280048834,-0.077652719,-0.111043125,-0.147179764,-0.209736012,0.030096566,0.130387857,-0.070369035,0.138665852
A6NGQ2,-0.135056299,0.310845944,-0.333751688,-0.723034851,-0.395782663,0.423753243,-0.000703594,0.114265925,0.539921467,-0.13240672,0.392342267,-0.250160161,-0.469984194,0.069328428,-0.125275558,-0.225455331,-0.014501795,0.433922212,0.071794086,0.203455295,0.575380036,-0.02012948,0.084816297,-0.101292677,0.357063746,0.559463347
A6NKN8,-1.662425271,-0.720058328,-0.975694807,-0.528614574,-0.614183326,-0.136089555,-0.412149242,-1.551925527,-0.213319494,-1.240950692,-0.748900329,-1.179042787,0.590330197,NA,0.15645047,-2.772980973,-0.879019324,NA,-1.457829134,-1.468847561,-1.060361421,-0.267080446,-1.095653119,-0.269339025,-0.946308661,-0.15961538
A6NMX2,1.002008893,0.580002439,0.460521817,-0.873180111,-0.007523334,-1.143049731,0.384088721,0.614397354,-1.09038134,0.189618627,0.285904727,0.190626108,-0.232054207,-0.104054225,-0.59934053,0.686544357,0.47090778,-0.002675186,0.002670235,-0.306791494,-0.793667238,-0.47491055,0.2127668,0.075159253,-0.723288352,-0.538371723
A6NNZ2,-1.70780767,-0.324490469,-2.165947564,-1.657176985,NA,1.049856611,-1.495136154,-0.539591499,-1.487527038,-1.133219118,-1.64737139,-0.401629668,0.927766422,-1.129407316,-1.579243999,-1.588540119,NA,0.135776292,-1.79278333,-1.308880343,NA,-2.069950744,0.021191047,-0.522655503,-0.242035543,-2.122582428
A6NP61,1.335293529,1.059206951,2.126665289,0.777750385,2.01560756,-0.195965055,1.337624611,1.546074207,1.246972146,1.425128772,1.384342857,1.593698535,1.484789386,0.863562763,0.825070601,1.146083546,0.94232029,2.37545057,1.38803721,1.034248525,1.966774405,1.174732229,1.165188235,0.575852597,0.519180778,1.049152263
A8MVS5,-0.534371744,0.32955579,-0.636209195,-1.451512359,0.449009875,1.547188195,0.613854531,-0.758870991,8.07E-05,-0.402245904,0.396133674,-0.557538761,0.617057896,0.953655707,-0.159056783,1.191166637,-0.520379161,-0.15667029,1.080074934,-1.353583212,0.026955842,-1.28839844,0.703533052,0,-0.668843033,-0.446989905
C9JE40,0.467744416,0.780437348,1.058158096,0.491959976,0.503519132,-1.149165675,0.594116666,0.161815181,-0.1353532,-0.130222941,0.250992764,0.545103883,0.187969624,0.517332322,0.866394124,-0.138801753,0.342535319,0.017491944,-0.073614709,0.214455496,0.48167368,0.484714092,0.769443213,-0.187845032,0.279919336,-0.229484605
E9PAV3,-0.37727249,0.72382293,-0.302192574,-0.443339271,-0.962831102,-0.354858627,0.197213883,0.481439179,-0.263166401,1.0871821,0.5997727,0.263516952,-0.031251596,0.081868649,0.390775289,0.441181625,0.12741972,-1.92628802,1.282261959,0.494569126,-0.316332011,-0.853872666,-0.384498725,0.239282447,0.187027231,0.16505087
L0R6Q1,0.303305746,-0.359338565,-0.773191284,-0.088405151,0.243592466,0.63194439,-0.250817448,0.86434604,-0.562184282,-0.01046211,0.06758873,-0.593726116,0.406198153,0.346185673,0.019998786,-0.421026112,0.249986544,-1.405140016,0.724364149,-0.799149831,-0.697069103,0.47190391,0.236344599,0.675921684,-0.732823884,0.737234332
O00154,-0.023344942,0.164619442,0.146555204,-0.105774651,0.60122554,0.461903875,0.31201753,0.060185617,-0.312661344,-0.628484953,-0.573955122,-0.434363941,-0.351461879,0.492398198,0.226042339,-0.389380216,-0.174842739,-0.988316612,0.168807721,0.224946143,-0.149729834,0.072519259,0.000732025,0.091401002,0.113053911,-0.453588021
O00170,-0.138796222,0.485603961,0.262851465,0.1474832,-1.274135789,-1.757528942,0.222673579,-0.250943163,-1.477215107,0.057082964,0.137039931,0.270246839,-0.51851912,-0.71095106,-0.770081116,0.313626723,0.351372829,NA,-0.078934441,-0.052545313,0.176046212,0.323068497,-0.641021192,-0.67960987,0.540459748,-1.248587053
O00186,-0.076778305,-0.573110937,0.095882446,-0.403216035,-0.52450229,NA,-0.051287488,-0.051203175,-0.599268049,-0.463389216,0.675921508,-0.050317234,NA,0.831977399,0.421877102,0.031732095,0.501518044,-0.001153366,0.25974378,0.415781929,0.431506071,0.762485932,0.460448065,0.640583615,0.220582022,-1.175164541
O00203,1.000545692,1.306641571,0.834161867,0.476853733,-0.494924813,-3.195988845,-1.531666311,0.256546815,0.564217459,-0.278036557,-0.07129005,0.061987313,2.075576098,-1.605106087,0.129722749,0.000773534,0.38261126,2.47657529,-0.972296064,0.342415801,0.349911909,-0.216178907,0.208397049,0.636608184,-0.611666907,-2.881711759
O00214-2,-0.509097678,-0.936381596,0.060423872,0.451580303,0.082771431,-1.513430109,0.3849794,-0.587620104,0.146642718,0.138950818,0.462029584,-1.169354482,-1.283912313,-0.456306824,0.192998673,0.197458245,-0.125329206,NA,0.216982714,0.323254508,-0.076121655,-0.09433319,0.421958399,-0.829332526,0.349103671,0.188448685
O00217,-0.383428565,-1.274601288,-0.86431099,0.40298165,0.272284011,NA,-0.238713093,-1.131216778,-0.322577492,-0.561115441,-1.050433165,-0.156810487,0.806291986,-2.596880161,-0.852542071,-1.171213846,0.001504705,-0.127653368,0.224618486,0.778945638,0.503191689,0,0.380732708,0.636716878,0.957584019,1.179185666
O00231,-0.558219577,0.399959575,0.137649081,0.235269842,-0.002607888,0.132092955,0.077522333,-0.068857741,-0.058454103,0.519898923,-0.004042287,0.331984172,-0.357105123,0.021068045,0.243840996,0.023892131,0.125162125,-0.079233082,-0.311277542,0.043124115,0.133711726,0.052898265,0.058166126,-0.324175746,-0.153973595,0.213976295
O00232,-0.930144815,0.392885438,0.89560855,-0.231369368,-0.756129499,-0.392959407,0.307014494,-0.586030943,0.221666125,0.009282407,-0.393715076,0.439543467,0.2206955,0.12683722,0.567680546,-0.779759736,-0.104505343,0.203505301,0.445639525,-1.148554892,-0.157826756,0.237299962,-0.22899815,0.129112613,-0.225900228,-0.989299163
O00244,0.189046483,0.997880912,-1.179799017,0.89638395,-0.731849386,-0.195688974,1.396136369,0.757057739,-0.766725738,0.068496253,-0.803702183,0.48985429,0.586486331,-0.871979975,-1.039077765,-0.695516307,-0.419341023,NA,-0.036076965,0.825236326,0.121222908,NA,-1.032716852,0.528225806,0.506075163,-0.051213274
O00273,-1.084383199,-2.819144667,-0.433915611,-0.057949183,NA,NA,-0.518689543,0.02412223,-0.28724855,-1.949496517,0.503770197,0.652335661,-1.300685138,-2.23334029,0.382378649,0.280849702,-2.006914403,NA,0.024933544,0.467661244,0.687822646,-0.110735247,0.882429681,-0.161263187,0.12489529,-0.82834965
O00303,NA,-0.768521819,0,-1.49242105,-0.555106451,-0.793064634,-2.199597675,0.257278974,-0.178711158,0.494067239,0.528667792,0.231877878,-1.612004487,NA,-1.091471194,-0.000182029,0.785286244,NA,0.882585251,1.236704944,NA,0.155591804,-0.696289553,-1.346239998,0.022518537,-0.838302589
O00330,-0.872889733,0.131638415,0.333730991,0.295681276,-0.266270223,0.91041341,0.735761147,-0.248358682,0.302590558,0.263135564,0.085508488,-0.018993576,1.444064904,0.161321921,-0.423979058,0.021451674,-0.007854207,-1.742720543,-0.314991012,-0.537991558,-0.446575735,0.334758162,-0.373886626,-0.398848238,0.598407115,0.397108527
O00410,0.95453359,0.205501273,0.182452685,-0.16346447,-0.295343872,-0.618816072,-0.035504797,-0.301223745,0.789397082,0.833858548,-0.746574958,0.279990168,-0.031772397,-0.158330939,2.64707455,0.426411859,0.198519251,NA,-1.306081689,-0.521332792,1.203006641,NA,NA,-0.423542987,0.398108905,-0.184637008
O00425,0.877202618,-0.080987545,0.39143112,-0.631209566,0.157204172,-1.210035542,0.239383959,0.39851993,-0.411835709,0.036823471,-0.367739845,0.289470531,-0.332302473,-0.054161691,0.765201268,0.037347758,0.180763939,0.306127998,0.183942152,-0.072204923,0,0.220459761,0.423101435,-0.324897335,-0.021829172,0.061598449
O00429,-0.760640239,-0.549154171,-0.079797798,-0.070043074,-0.121438997,-0.244902462,0.14294983,-0.038831706,0.365496632,0.094636074,0.467533694,-0.345954127,0.022665715,-0.081158641,0.117951771,-0.169086277,0.007483845,0.127456602,-0.543148347,0.021005785,-0.112380766,0.066830629,-0.064990165,-0.643085806,0.036952321,0.092163638
O00442,1.09148059,0.309917822,-0.275471779,0.580070371,0.099274031,0.99679907,0.716097739,0.455090606,0.459506081,-0.415792011,-0.760169988,0.002707852,0.351092512,-0.84740128,3.033317794,-0.065097128,-0.407758748,1.577938371,0.457778779,0.079380835,0.272167581,0.917358069,-0.618421957,-0.105241835,1.289465398,-0.700403782
O00483,1.257031155,-1.64572516,-1.023057847,0.229143306,-1.172314256,-0.426441032,-0.041541514,0.838965535,-0.093094933,-0.487010107,-1.796030656,-0.109985438,0.082981005,-0.575272869,NA,-0.277267476,-0.74330026,NA,1.243684406,0.957771781,0.17153159,NA,0.594907899,0.559835865,0.522271458,1.115382614
O00487,0.057607689,-0.180141137,0.02105224,0.588026922,0.100706698,-0.081784833,0.44587247,-0.149571765,-0.153721993,0.338557788,-0.351971726,0.543436333,-0.534696844,0.339739619,0.207507742,0.150379569,0.150151474,NA,-0.007242591,0.147996455,0.12125793,-0.250736425,0.221060956,0.002612715,-0.625085477,-0.026995358
O00515,0.371574567,0.33802225,0.313772025,-0.038549439,0.36970127,0.426901154,0.630132095,0.31117008,0.072197708,-0.24343103,0.348381212,0.075490031,0.169214097,-0.000758485,-0.629034836,0.101099117,-0.126233601,-0.528535103,-0.177579075,-0.270731661,0.422841545,0.591214274,-0.406533765,-0.163048855,-0.187998224,0.233846608
O00534,-0.154544958,0.596193785,-0.051772115,0.091803893,-0.761475496,-0.373114537,0.309146671,0.400645131,0.564593458,0.143392085,-0.547731398,-0.804099973,-0.024217981,0.191494116,-0.913042547,0.166238619,-0.280764622,1.485125578,-0.341588769,0.269122265,-0.208743552,0.479768751,0.247062946,-0.513863349,-0.277734575,0.346034797
O00560,-3.66941167,-0.923311976,-0.147944089,-0.509953791,-1.609970096,-1.121095151,-0.724644101,1.523640223,0.248288638,-1.050951899,-0.983687947,-0.572272093,-1.982946138,-0.660909372,1.23612966,-0.196366078,0.82905552,-0.212342101,0.810143914,0.22039757,-0.64737256,0.899678062,-2.064345574,-0.696658643,-2.234975674,0.146413597
O00571,-0.887472762,-0.257032193,0.473616783,0.070359614,0.114612412,-0.640795041,-0.003374799,0.128323553,-0.081419959,-0.449802675,0.12161868,0.179327157,-1.251638802,-0.505773566,0.24937037,0.262594155,-0.018330604,-0.336137478,0.504454394,0.410463276,0.137848902,0.494732299,-0.522404821,-0.233088296,0.259440338,0.272007964
O00592,0.011600166,-0.011694196,-0.057288762,0.037361956,0.178178633,-0.518415741,0.216652324,0.415430831,-0.206355755,-1.041196511,-0.737946599,0.511211601,0.235336534,0.631009744,0.31363776,0.578651901,-0.46171439,1.30321589,0.492770289,0.840053078,0.625183867,0.145074773,0.213247169,0.531430367,0.451105969,0.834552235
O00764,-0.639878393,-0.74979859,-0.553409222,0.107366032,0.790375832,0.124655943,-0.612439634,0.533319094,0.33378349,-0.749029595,0.134124041,0.129689976,-1.59611597,-0.335554936,-0.053721716,0.003581828,0.28610641,-0.938324114,0.011745784,-0.30162702,0.597493555,0.30987789,-0.443151647,0.53275842,0.276426179,-0.328456206
O14548,NA,1.060046922,-0.157841668,1.09548784,1.342794881,NA,0.645982928,-0.689784083,0.537147277,-0.021346102,-0.303730055,1.081014027,NA,1.156339983,-0.426970441,-0.731187256,-1.243696391,-1.143713097,1.085896436,0.351932484,NA,1.092558624,0.507019245,-0.250252541,0.00390206,1.05585178
O14561,NA,1.228848309,-1.085306497,-0.758497518,0.148587061,-0.812452071,-1.474169482,0.428086129,-0.121355738,0.335521714,1.388806791,-1.083556407,-2.067401439,-0.724034686,-0.389201693,-0.098623102,0.630471549,-0.06227596,-0.828466398,-0.038141622,0.360109106,0.117373689,-0.368117556,-0.652663407,0.046861401,-1.386938631
O14562,0.473980945,0.015844569,-0.111855919,-0.190644109,-0.594575065,0.062463226,-0.20789931,-0.542464519,0.551394953,-0.554401743,-0.77216235,0.161326122,0.516924653,-0.179931111,0.112508753,-0.171119803,0.119156397,NA,-0.286675589,-0.791609886,-0.338197903,-0.371245267,-1.288052211,-0.675335682,-0.258385087,-0.439156685
O14578-3,0.688752923,-0.745771537,0.594240161,-0.218583477,0.594371751,-0.01916226,-0.482647245,0.715614939,0.362907328,-0.244334581,0.422297886,-0.51970909,-0.124841184,-0.431162597,-0.288440074,-0.696208882,0.205865886,1.086294106,-0.033376166,-0.117306143,0.769222584,0.249103494,-0.125972369,1.17814816,0.15071586,0.606425779
O14578-4,-0.250842119,-1.822704801,0.634540748,-0.298931251,-1.547236518,-1.403159981,0.045355561,0.260396938,-1.187740767,NA,-0.034016858,1.066866015,-1.159326945,-0.754285622,0.262477857,0.310700878,NA,0.858456586,-0.391280776,-1.358043844,-0.125606878,0.609980354,0.147331717,NA,NA,-0.448780939
O14579,-0.273781203,-0.943356591,0.246989095,0.274777636,-1.776218795,-0.263043138,0.771055126,0.382528276,-0.428149282,-0.785653531,-1.211251089,-0.144306972,-0.313212586,-0.505057335,0.250178217,0.162667358,-1.718656269,0.81885502,0.212324747,-0.257002037,-0.174423998,-0.913433285,0.301048395,-0.439132017,0.030327819,0.045105969
O14618,0.37427071,1.114029379,1.125258293,0.517874338,0.838061036,-0.714010135,0.332405284,-0.337139434,0.884713689,0.957790745,0.83314038,-0.441697346,0.836709547,0.828126958,-0.148714735,-0.520846551,0.076051492,NA,-1.985206331,-1.146836816,-0.119844815,-0.233638259,-0.15042532,-0.416273187,0.335227784,-0.692180467
O14737,0.052711614,-0.482438173,-0.418086921,-0.303965823,-1.506792878,0.460162144,0.297706202,-0.278065397,-0.712094892,-0.600888195,-0.391187306,0.037689603,0.039406651,-0.434283728,-0.512169698,-0.160105278,-0.594805685,-4.694278598,-0.026161602,0.147053665,-0.105653811,-0.718253332,-0.343994974,-0.030781127,-0.297809134,0.212623229
O14745,-0.044975706,0.101094566,-0.157820552,0.193440081,0.023452782,-0.162342129,0.07822404,0.1432846,0.092206766,-0.692532222,0.381115677,0.111559256,0.08625159,-0.565088423,-0.749718507,0.290765623,-0.024689914,-1.930479325,0.323769924,0.009401878,0.527420306,-0.011142634,0.094528327,-0.592003128,0.348990803,0.624376824
O14791,-1.442891198,-3.121968456,1.439334651,1.45962185,NA,0.592946069,1.240285308,1.026811172,-0.908182596,-0.935812874,-0.710855304,0.395489401,NA,0.896868704,0.273790322,0.474174302,-0.488147707,NA,-0.42449174,0.499847026,-0.679227541,NA,0.554963707,-2.194628413,-0.029508073,-0.396754558
O14818,-0.403689658,-0.138000267,-0.861866642,-0.306140118,0.006776351,0.026351564,-0.426871191,0.263081952,-0.270347428,0.803650357,0.103548745,-0.330985268,0.04306217,-0.485157857,0.040792065,-1.066161708,0.254521524,-0.757661423,0.023188157,0.462218119,0.492432931,0.972820794,-0.303704912,0.098960358,0.105378924,-0.388501838
O14908,-0.169171339,0.413351773,0.229508422,0.84529522,1.408800108,1.140072886,0.810143178,0.546692302,0.583760268,-0.444270623,0.422852866,0.425771751,0.882293544,-1.459781779,0.463235429,0.350938753,0.725886413,-1.669285591,0.037171021,0,0.456338146,1.020829821,-0.900350582,NA,-0.215884246,-0.870553675
O14949,NA,1.296523625,-0.227835541,0.11511673,0.905622329,0.392210919,-1.135138057,-3.911440266,-0.956230329,-0.197922253,0.7947836,0.256680606,-0.913459108,0.531981073,-0.173446389,-1.446968915,-2.735771224,0.847529373,-0.415379452,0.171801433,0.195262906,0.599490986,0.156543449,0.200517772,-0.292335039,0.146537371
O14964,-1.939799093,-0.722095242,0.234036883,-1.257827634,0.402071213,1.585813156,0.001974336,0.568206988,NA,-0.575656915,1.359191192,0.586332402,-1.630471906,0.347249744,-0.696596871,0.112567384,1.280533443,1.744269752,0,0.632755682,-3.510611164,NA,0.052850624,-0.663937762,-0.111383093,0.325053058
O14965,-1.117561774,-0.733807805,-1.610372678,-1.943397214,-1.366496746,0.619237405,-1.337171104,-1.186175679,-0.029814548,-1.145382512,-1.287063666,-1.263190638,-1.640251964,-1.11455442,-1.153114264,-0.935736958,-1.977028672,-1.068448883,-0.95561329,-0.63832657,-0.753907931,-1.256548819,-0.421576958,-1.127550861,-0.94766772,0.842637883
O14980,-1.23151095,0.953125717,-0.255645952,0.323697976,0.333522429,-0.100432432,-0.286766649,-1.472380864,0.352926997,0.224636521,-0.630136442,0.205157598,NA,-1.226842111,-0.285062798,-0.956244454,0.754232445,NA,0.282429641,-0.426281166,-0.31097971,-0.678867985,0.353047338,0.320601214,-0.125583488,1.332295306
O15116,-0.008431508,-0.666096676,0.179765579,0.159828334,-0.389140796,0.088476288,0.116421778,-0.680056773,-0.100721362,-0.582736523,-0.305370819,-0.224926568,0.013924139,0.051600123,-0.136302515,-0.184810872,-0.451556203,1.706562722,-0.481367096,0,0.625003438,0.346597147,0.717406122,0.226164857,0.03870415,-0.472865582
O15126,-0.803725997,0.982969142,-0.342262186,0.073055669,-0.515476963,1.288214047,-0.06249905,0.720615526,0.296218586,-0.268231513,NA,-0.600623585,0.776660222,0.191457891,NA,0.398800888,-0.184650448,-0.017343575,-0.663161489,-1.867869167,-0.884919438,NA,-0.838632743,0.610477946,0.278430732,1.06633954
O15143,0.261692412,0.716376495,0.531212302,-0.274514656,0.218121558,0.195022423,0.838702915,0.025019382,-0.074287332,-0.444557229,-0.278745567,0.286694452,-0.010989523,-0.719128076,-0.004721903,-0.384327853,-0.636131271,NA,0.38233589,0.156572086,0.383084127,-0.34442791,0.272360311,-0.475790142,-0.574079954,0.548674401
O15144,0.340300573,0.049749061,0.471376086,0.012010667,0.129514441,0.309682575,0.72039419,0.313626573,0.313696933,0.872955022,-0.016033745,0.357187594,-0.091823149,0.239299932,1.222167637,0.56816501,0.605346284,-1.279698383,-0.914127725,0.235214508,0.154404452,0.299070813,-0.30897163,-0.612793264,-0.138694827,-0.871878067
O15145,0.589017871,0.226017491,0.302105538,-0.154182697,-1.344104706,0.827877178,0.693646423,0.017334474,-0.326915305,0.052631863,-0.32199305,0.318199521,0.081835405,-0.227776414,0.608765791,-0.148536364,0.713786945,0.658828633,-0.368178363,0.534638846,0.43437653,-0.347801762,0.144060003,0.26106243,-0.166957055,-0.373949045
O15212,-0.059786646,0.17356439,0.377079509,-0.645735767,-0.710335292,-0.291093047,0.722069648,-0.433722578,0.373156909,0.597261462,-0.643868569,0.73085024,0.940062054,2.287390539,-0.433917352,-0.164363712,0.254606804,-1.266285713,0.015856809,0.452858743,-0.436658207,-1.720738244,-1.581415583,0.011364826,0.359694806,0.004028381
O15258,0.6324533,0.305680314,-0.32576601,-0.121695987,0.416412916,-0.695077231,-0.467100995,-0.421114434,0.454870401,-1.009736701,-0.333001261,0.481751031,-0.560813148,-0.532785035,NA,-0.260651878,-0.591289028,0,-0.048552085,0.408050609,0.452514989,0.289876348,0.407367361,0.692093943,0.306862076,-0.093956598
O15347,0.16455796,-0.051042449,0.451700597,0.377741824,-0.223956304,-0.334337076,0.027451162,-0.492050224,-0.632441418,0.737169718,-0.181143883,-0.087776682,0.396589724,0.272490099,-0.294407052,0.356059837,0.49825863,NA,0.052135356,-0.050480194,0.726422058,0.282847255,0.02202891,-0.054841955,0.418228125,0.770666507
O15371,-2.050479431,1.032576469,0.438323323,-0.436855891,-0.274601581,-0.674692788,0.212223817,-0.011947627,-0.670128232,-1.093283376,-0.158442688,0.880107974,NA,-0.119936968,0.335057948,-0.05518372,-1.43479804,1.749423291,-0.084175441,0.177187769,1.814218935,-1.065155169,2.121805024,-0.897884049,2.405280886,-0.088338327
O15382,-0.361715519,0.036456933,-0.067878824,-0.056821343,0.052756437,0.472483146,0.400669578,0,0.419401494,0.309654037,0.084178669,0.048833355,0.22560822,0.860412322,0.177046904,-0.250686949,-0.258538243,0.134790409,0.372021767,-0.088105365,-1.135195381,-0.02832861,-1.052050997,0.431902946,-0.589050962,0.026767304
O15511,-0.205157896,1.296525896,0.586998135,0.209667188,-1.069032965,0.833642578,0.655886483,0.187255042,0.472370336,-0.024684874,0.192064305,-0.362402479,0.21837156,-0.393767303,1.037546671,0.059533095,0.340961137,-2.634712924,-0.049517991,-0.102978546,-0.649048815,0.506281674,0.737848475,0.322658333,0.596018443,0
O43169,0.214136902,0.407167024,-0.790968964,-0.223681741,0.0528684,0.17616232,0.011688842,-0.132208306,0.365878962,0.554136176,-0.983613364,0.353195905,NA,0.483102634,-0.149032153,0.261198524,0.137165847,-0.231541712,-0.712034578,-1.064550336,-0.89387683,0.616286091,1.060525178,-0.443035963,-0.541636423,-0.37702107
O43196,0.055447118,0.829815955,-1.692555772,-0.253266503,-0.264297535,-0.432121285,0.682365908,-0.013334363,-0.364570393,0.093168196,0.13116804,0.54448405,-0.093185453,0.376594615,-0.469835131,-0.25371784,-0.379877854,0.627792895,0.734484776,-0.102234772,-0.528689237,-0.807317563,0.204519265,-0.020139755,-0.773184217,0.739864628
O43242,0.61038433,-0.521455673,0.023403141,0.14613278,-0.315938215,-0.127952115,0.118761499,-0.303869618,-0.149039683,0.320864221,0.204728661,0.054804503,-0.293872987,0.222643973,0.255168347,-0.222632876,-0.009665508,-0.720866174,0.144858194,0.057769917,-0.079192648,-0.035011854,0,0.286125639,-0.135899765,-0.486304533
O43324,1.551938622,-2.059378143,-0.447428695,-1.289568323,NA,1.457943647,-1.726973846,-0.440994727,-0.863360932,-1.368081361,1.493737892,-1.30036069,NA,1.560962845,NA,-0.365606982,NA,-3.67493176,0,-0.431635527,-1.39838254,-0.844125764,-0.499850049,1.004610277,1.237345641,-0.992088196
O43396,0.166678776,-0.494494092,-0.646766112,-0.310031165,-0.622215765,-0.692723398,0.228485603,0.357469853,0.500604887,0.432838659,0.450460942,0.404221765,0.594485025,-1.757124184,0.558239303,-0.40123846,0.737663658,NA,-0.006814482,-0.341194057,0.085404273,-0.410521866,0.389440812,-0.978239401,-0.302618588,-0.117266837
O43399,0.233165972,0.913149495,0.352339577,1.503220729,-0.14925041,-0.800431281,0.8483032,-0.016918328,-1.599772293,-0.051632213,-0.569094774,0.814904764,2.069554522,-0.418710105,-0.34473657,1.104547837,0.194830505,NA,0.315860417,-0.640242393,-1.75225237,-0.266697291,-0.081636418,-1.019620916,0.271178593,0.171147351
O43405,-2.034954475,0.149103162,-0.337097147,-0.618236331,-0.1506415,0.16262729,0.052049391,0.317342185,0.695545332,0.295883365,-0.650352334,-0.245621025,-0.887458321,0.251388137,0.436067563,0.306280538,0.014960028,-2.342024635,0.72067111,-0.639816156,-0.235841202,0.562491125,0.6831309,0.089891703,0.419448256,0.355247494
O43447,0.356602856,0.322987301,0.733766274,-0.330648833,0.342848033,-0.157096931,0.160423726,-2.124858235,-0.516763657,0.283203674,0.130901956,-0.491667771,0.264556292,0.817940042,-0.574714821,-0.103438122,-0.312034003,1.944277008,0.464386817,0.204920363,-0.134722854,NA,0.129845753,-0.14555928,0.171270568,0.075029924
O43488,0.116275404,0.746946612,0.099525231,0.27370619,-0.20877808,-0.310094644,0.454218749,0.597119731,-0.240520233,0.344074794,-0.603318618,-0.146228739,-0.076388822,0.015165746,-0.575583067,-0.596688381,0.684783079,0.320429722,-0.803246018,0.492801884,-0.236471804,-0.458264251,0.23403635,-0.048792492,-0.24220741,-0.042400334
O43491,-0.11193294,0.307931608,0.401114599,-0.179749771,-0.74011084,0,0.028881835,0.034499875,-0.10438008,-0.345811436,0.028292392,0.278119163,0.619043422,0.479078995,0.281331299,-0.107588687,0.021821322,2.021677162,0.34244794,-0.334872567,-0.08525312,0.154045027,0.238930688,0.485123786,-0.183806649,0.145010467
O43491-4,-1.898526825,NA,-0.392995033,-0.322518237,0.070340092,0.80994849,-0.247677506,-0.137432575,1.09026068,0.079028621,-0.224646147,-0.633713538,NA,0.271053882,0.8274798,-0.691824877,1.248129581,NA,-0.704252,-0.584652167,0.039744886,0.854331694,-0.519169705,-1.69215309,-0.52161051,-0.948964084
O43504,-1.698819328,-1.075120415,-1.271915976,0.220905264,-1.23937977,0.887445203,-0.382360853,0.32158767,NA,0.292855302,0.857991947,0.439573779,-0.219452895,0.374595277,1.787577663,-0.364777342,0.29714498,NA,0.304110837,-0.404090489,-0.124555689,0.407927013,-1.002542743,-0.250721513,0.158918482,0.467072996
